smiles,SourceRow,ParseStatus,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
[Ni](P(C)(C)C)(P(C)(C)C)(P(C)(C)C),0,ok,5.022717526222755,137.48529804927279,11.077350269189626,10.816227766016837,14.80384048104053,5.366025403784438,4.974341649025257,19.367282164682386,6.160195771588399,39.90276974107073,1.4230249470757708,52.80553948214144,2.134537420613656,79.20830922321218,18.10940778171408,0.0,0.0,0.0,12.114669675605429,0.0,0.0,0.0,0.0,59.98343043809281,0.0,289.09137875,0.46153846153846156,0.6153846153846154,0.6153846153846154,1.0,1.7835064935064933,13,259.71399999999994,161.50688681013511,14.783506493506492,4.33928902621041,4.8899257689644156,90.18414835983131,2.582175925925926,,2.582175925925926,,0.6875000000000002,,-0.8923611111111118,,3.267500000000002,78.26100000000005,289.95400000000006,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,91,0.0,0.0,0.0,0.0,0.0,90.20750789541232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.114669675605429,18.10940778171408,0.0,0.0,0.0,0.0,59.98343043809281,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,59.98343043809281,12.114669675605429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875000000000002,0.0,0.0,0.0,0.0,-2.677083333333334,0.0,23.239583333333336,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5525596104197157
[Ni](P(CC)(CC)CC)(P(CC)(CC)CC)(P(CC)(CC)CC),1,ok,6.417226400992413,222.36453127730067,17.441311299868556,17.180188796695766,21.167801511719453,10.411966949802832,10.020283195043646,21.777184741379703,6.675381929726998,37.54324981038738,6.51246117974981,63.285540069381554,4.32349930018173,83.69330966364225,18.10940778171408,0.0,0.0,0.0,0.0,12.114669675605429,0.0,55.45719024721128,0.0,62.3136347972156,0.0,415.232229326,0.36363636363636365,0.5,0.5909090909090909,1.0,1.7835064935064933,22,367.8130000000001,45718.74150963989,23.783506493506493,10.702186783845283,4.29912322127989,147.4686273894008,2.572422839506173,,2.572422839506173,,0.7187500000000002,,-1.07837962962963,,6.778400000000008,119.81400000000009,416.1970000000002,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,145,0.0,0.0,0.0,0.0,0.0,147.99490250174642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.114669675605429,18.10940778171408,0.0,0.0,0.0,62.3136347972156,55.45719024721128,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,55.45719024721128,12.114669675605429,0.0,62.3136347972156,0.0,0.0,0.0,0.0,0.0,0.0,0.7187500000000002,0.0,0.0,0.0,0.0,-3.235138888888889,14.11458333333333,23.15180555555556,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24315027441000941
[Ni](P(CCC)(CCC)CCC)(P(CCC)(CCC)CCC)(P(CCC)(CCC)CCC),2,ok,7.247771182340821,313.8324210785847,23.805272330547474,23.54414982737469,27.531762542398376,14.911966949802832,14.520283195043644,26.277184741379703,10.243401414387533,39.247308264368975,7.14972357875225,62.4360198450781,6.797274172722055,87.72878914571882,18.10940778171408,0.0,0.0,0.0,12.114669675605429,0.0,57.787394606334104,55.45719024721128,0.0,62.3136347972156,0.0,541.373079902,0.2903225806451613,0.41935483870967744,0.5161290322580645,1.0,1.7835064935064933,31,475.9120000000003,2866957.7693761196,32.78350649350649,18.107932167114352,9.06028466064664,204.75310641897028,2.543894242882338,,2.543894242882338,,0.7000000000000003,,-1.2540972222222224,,10.289299999999997,161.3669999999997,542.4400000000004,0,0,0,0,0,0,0,0,0,0,4,0,21,0,0,0,199,0.0,0.0,0.0,0.0,0.0,205.7822971080805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.114669675605429,18.10940778171408,0.0,0.0,0.0,120.1010294035497,55.45719024721128,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,55.45719024721128,12.114669675605429,0.0,120.1010294035497,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000003,0.0,0.0,0.0,0.0,-3.762291666666667,28.417243480725624,22.895048185941043,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1000157579752609
[Ni](P(C(C)C)(C(C)C)C(C)C)(P(C(C)C)(C(C)C)C(C)C)(P(C(C)C)(C(C)C)C(C)C),3,ok,8.215888761499102,391.1981230635795,25.273502691896258,25.012380188723473,28.999992903747163,13.856406460551025,13.464722705791843,24.0538156441556,12.951059506183645,44.24796374942268,8.46475150877325,68.81215405786301,8.354680146053383,105.37735461050629,18.10940778171408,0.0,0.0,0.0,12.114669675605429,50.93095005632975,0.0,0.0,0.0,124.62726959443118,0.0,541.373079902,0.25806451612903225,0.3548387096774194,0.41935483870967744,1.0,1.7835064935064933,31,475.9120000000003,992959.6983205453,32.78350649350649,12.15253887857728,5.17886847131019,204.75310641897033,2.6627006172839507,,2.6627006172839507,,0.4166666666666671,,-1.6393981481481485,,10.274899999999997,161.1689999999997,542.4400000000002,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,199,0.0,0.0,0.0,0.0,0.0,205.78229710808057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.114669675605429,18.10940778171408,0.0,0.0,0.0,175.55821965076103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,50.93095005632975,12.114669675605429,0.0,124.62726959443118,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666671,0.0,0.0,7.822916666666664,0.0,-4.9181944444444445,0.0,47.92861111111112,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17005498491470142
[Ni](P(C1CC1)(C1CC1)C1CC1)(P(C1CC1)(C1CC1)C1CC1)(P(C1CC1)(C1CC1)C1CC1),4,ok,1.322605555574661,577.8430967237027,20.001424753254113,19.740302250081324,23.727914965105015,15.312570843487292,14.92088708872811,25.509980027091867,14.027217909005097,42.28028653518037,11.422271949945896,67.97936682189317,9.44499131365786,99.93074299385594,18.10940778171408,0.0,0.0,0.0,0.0,12.114669675605429,50.93095005632975,115.57478921266822,0.0,0.0,0.0,523.232229326,0.25806451612903225,0.3870967741935484,0.4838709677419355,1.0,1.7835064935064933,31,475.9120000000003,200874572.9464438,19.91085433479473,6.555260001888646,2.775712838514135,195.70062603720726,1.7650617283950618,,1.7650617283950618,,0.9791666666666671,,-1.0660648148148149,,8.060900000000009,142.1429999999999,524.2960000000004,0,0,9,0,9,0,0,0,0,0,4,0,12,9,0,9,181,0.0,0.0,0.0,0.0,0.0,196.7298167263175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,12.114669675605429,18.10940778171408,0.0,0.0,0.0,166.50573926899798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,50.93095005632975,12.114669675605429,0.0,115.57478921266822,0.0,0.0,0.0,0.0,0.0,0.0,0.9791666666666671,0.0,0.0,12.697916666666666,0.0,-3.198194444444443,31.7711111111111,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17905871747259733
[Ni](P(CCCC)(CCCC)CCCC)(P(CCCC)(CCCC)CCCC)(P(CCCC)(CCCC)CCCC),5,ok,7.7997209851317235,410.75982374357136,30.169233361226397,29.908110858053607,33.8957235730773,19.411966949802828,19.02028319504364,30.777184741379703,13.425381929726994,42.42928877970845,9.672694351761443,63.64097113342677,7.247886736451893,87.1280876343587,18.10940778171408,0.0,0.0,0.0,12.114669675605429,0.0,57.787394606334104,113.2445848535454,0.0,62.3136347972156,0.0,667.5139304779999,0.25,0.375,0.475,1.0,1.7835064935064933,40,584.0110000000002,264734978.50805074,41.78350649350649,26.04472133871548,14.2583181376423,262.03758544853974,2.5181868858654575,,2.5181868858654575,,0.6716666666666671,,-1.393544501133787,,13.800199999999972,202.91999999999922,668.6829999999998,0,0,0,0,0,0,0,0,0,0,4,0,30,0,0,0,253,0.0,0.0,0.0,0.0,0.0,263.5696917144146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.114669675605429,18.10940778171408,0.0,0.0,0.0,177.88842400988383,55.45719024721128,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,55.45719024721128,12.114669675605429,0.0,177.88842400988383,0.0,0.0,0.0,0.0,0.0,0.0,0.6716666666666671,0.0,0.0,0.0,0.0,-4.180633503401361,42.59528486394558,22.663681972789117,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.05279189996177534
[Ni](P(C1CCC1)(C1CCC1)C1CCC1)(P(C1CCC1)(C1CCC1)C1CCC1)(P(C1CCC1)(C1CCC1)C1CCC1),6,ok,1.3379476942234003,687.33825220978,26.365385783933032,26.104263280760243,30.091875995783933,19.81257084348729,19.420887088728108,30.009980027091864,17.209198424344553,45.46226705051985,16.17266496694212,72.72975983888938,12.36922592783264,105.02921222220544,18.10940778171408,0.0,0.0,0.0,0.0,12.114669675605429,50.93095005632975,173.36218381900233,0.0,0.0,0.0,649.373079902,0.225,0.35,0.425,1.0,1.7835064935064933,40,584.0110000000002,225137848.6524439,28.041616373391914,10.948504424130677,3.664777395469429,252.98510506677678,1.7650617283950618,,1.7650617283950618,,0.8591666666666671,,-1.3513657407407413,,11.571799999999985,183.69599999999943,650.5389999999998,0,0,9,0,9,0,0,0,0,0,4,0,12,9,0,9,235,0.0,0.0,0.0,0.0,0.0,254.51721133265164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,12.114669675605429,18.10940778171408,0.0,0.0,0.0,224.29313387533213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,50.93095005632975,12.114669675605429,0.0,173.36218381900233,0.0,0.0,0.0,0.0,0.0,0.0,0.8591666666666671,0.0,0.0,12.227576530612245,0.0,-4.0540972222222225,46.7173540249433,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14568556971537047
[Ni](P(CC(C)C)(CC(C)C)CC(C)C)(P(CC(C)C)(CC(C)C)CC(C)C)(P(CC(C)C)(CC(C)C)CC(C)C),7,ok,8.420063606655312,493.0235602761401,31.637463722575184,31.3763412194024,35.363953934426085,18.114545378711934,17.722861623952756,29.479763170288816,17.87514037253109,46.053281836687226,7.859488917334103,63.342011268822496,8.756263638806796,93.37223058073654,18.10940778171408,0.0,0.0,0.0,12.114669675605429,53.26115441545253,0.0,55.45719024721128,0.0,124.62726959443118,0.0,667.5139304779999,0.25,0.35,0.425,1.0,1.7835064935064933,40,584.0110000000002,45184002.0132721,41.78350649350649,18.680121796842954,14.2583181376423,262.0375854485397,2.610445168808264,,2.610445168808264,,0.49375000000000036,,-1.620925925925927,,12.503299999999983,202.28999999999925,668.683,0,0,0,0,0,0,0,0,0,0,4,0,21,0,0,0,253,0.0,0.0,0.0,0.0,0.0,263.56969171441455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.114669675605429,18.10940778171408,0.0,0.0,53.26115441545253,124.62726959443118,55.45719024721128,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,55.45719024721128,12.114669675605429,53.26115441545253,124.62726959443118,0.0,0.0,0.0,0.0,0.0,0.0,0.49375000000000036,0.0,0.0,0.0,7.588472222222219,-4.86277777777778,14.542542517006805,46.98801303854874,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08435996081191902
[Ni](P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)(P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)(P(C(C)(C)C)(C(C)(C)C)C(C)(C)C),8,ok,10.101056589158246,637.7502771708374,33.57735026918962,33.31622776601684,37.30384048104053,16.61602540378444,16.224341649025256,26.117282164682383,22.32368329805051,54.72684649404715,9.59604989415154,73.05553948214146,12.793171775767068,129.38538652901508,18.10940778171408,0.0,0.0,58.51937954105364,0.0,0.0,0.0,0.0,0.0,186.94090439164688,0.0,667.5139304779999,0.2,0.275,0.325,1.0,1.7835064935064933,40,584.0110000000002,9192424.821259063,41.78350649350649,10.948504424130677,5.891396792958698,262.03758544853986,2.70783950617284,,2.70783950617284,,0.03125,,-2.29416666666667,,13.785799999999973,202.7219999999992,668.6829999999999,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,253,0.0,0.0,0.0,0.0,0.0,263.5696917144147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.114669675605429,18.10940778171408,0.0,0.0,0.0,233.3456142570952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,46.40470986544821,12.114669675605429,0.0,186.94090439164688,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,2.2395833333333304,0.0,0.0,-6.882500000000005,0.0,73.11166666666668,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20742688783418675
[Ni](P(C1CCCC1)(C1CCCC1)C1CCCC1)(P(C1CCCC1)(C1CCCC1)C1CCCC1)(P(C1CCCC1)(C1CCCC1)C1CCCC1),9,ok,1.408467404969399,781.6230199324874,32.72934681461195,32.468224311439165,36.455837026462845,24.31257084348729,23.920887088728108,34.50998002709184,20.391178939684004,48.64424756585933,18.4226649669421,74.9797598388894,17.02729914912853,109.68728544350155,18.10940778171408,0.0,0.0,0.0,0.0,12.114669675605429,50.93095005632975,231.14957842533644,0.0,0.0,0.0,775.513930478,0.1836734693877551,0.2857142857142857,0.3877551020408163,1.0,1.7835064935064933,49,692.1099999999999,527599825546.86346,36.42358365951529,16.099927523507407,6.0753884319148295,310.269584096346,1.7650617283950618,,1.7650617283950618,,0.7391666666666674,,-1.6366666666666683,,15.082699999999962,225.248999999999,776.7819999999996,0,0,9,0,9,0,0,0,0,0,4,0,12,9,0,9,289,0.0,0.0,0.0,0.0,0.0,312.3046059389855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,12.114669675605429,18.10940778171408,0.0,0.0,0.0,282.08052848166614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,50.93095005632975,12.114669675605429,0.0,231.14957842533644,0.0,0.0,0.0,0.0,0.0,0.0,0.7391666666666674,0.0,0.0,11.757236394557822,0.0,-4.910000000000003,61.66359693877549,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13679016726690307
[Ni](P(C1CCCCC1)(C1CCCCC1)C1CCCCC1)(P(C1CCCCC1)(C1CCCCC1)C1CCCCC1)(P(C1CCCCC1)(C1CCCCC1)C1CCCCC1),10,ok,1.4337095228024677,896.4794863325308,39.093307845290866,38.83218534211807,42.81979805714176,28.812570843487286,28.420887088728104,39.00998002709183,23.573159455023454,51.82622808119881,20.672664966942083,77.22975983888938,18.618289406798255,111.27827570117131,18.10940778171408,0.0,0.0,0.0,12.114669675605429,0.0,50.93095005632975,288.9369730316704,0.0,0.0,0.0,901.6547810540001,0.15517241379310345,0.25862068965517243,0.3620689655172414,1.0,1.7835064935064933,58,800.2089999999997,42877879045668.445,44.96186304991628,21.847297946424433,8.7666067162692,367.55406312591526,1.831972789115648,,1.7650617283950618,,0.6558333333333342,,-1.831972789115648,,18.593599999999977,266.801999999999,903.0249999999991,0,0,9,0,9,0,0,0,0,0,4,0,12,9,0,9,343,0.0,0.0,0.0,0.0,0.0,370.09200054531937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,12.114669675605429,18.10940778171408,0.0,0.0,0.0,339.867923088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.10940778171408,50.93095005632975,12.114669675605429,0.0,288.9369730316704,0.0,0.0,0.0,0.0,0.0,0.0,0.6558333333333342,0.0,0.0,11.439528061224484,0.0,-5.495918367346942,76.15055697278912,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13522532160835513
[Ni](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1),11,ok,1.6753383821808883,2042.0096683627473,39.093307845290866,32.29698987955001,36.284602594573684,28.812570843487286,19.92049407173188,29.813434587388983,14.367911932110463,38.4672275508137,11.095274136286696,54.3235308018411,8.772935513410491,70.83207838574617,30.224077457319506,0.0,0.0,0.0,0.0,0.0,47.740859066150165,0.0,0.0,272.9865180807723,0.0,847.232229326,0.15517241379310345,0.25862068965517243,0.3620689655172414,0.0,-5.2364935064935025,58,800.2089999999997,42877879045668.445,38.290881997084774,17.31804969290469,6.528644651021946,348.4135171848379,3.255697278911568,,2.482145061728395,,0.7250000000000003,,-3.255697278911568,,9.528800000000004,259.6289999999994,848.5930000000002,0,0,0,0,0,9,0,9,0,0,4,0,12,0,0,0,289,0.0,0.0,0.0,0.0,0.0,350.951454604242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,12.114669675605429,65.85026684786425,0.0,0.0,0.0,0.0,0.0,272.9865180807723,0.0,0.0,47.740859066150165,0.0,0.0,18.10940778171408,0.0,12.114669675605429,0.0,0.0,272.9865180807723,0.0,0.0,0.0,0.0,0.0,-0.7250000000000003,0.0,13.014472789115649,0.0,0.0,95.96052721088435,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08499195734979062
